ts_local,ts_server,slug,condition_id,inventory_yes,inventory_no,net_inventory,gross_inventory,cash,inventory_value,mark_to_market_pnl,yes_mid,no_mid,yes_fair_value,no_fair_value,yes_bid_quote,yes_ask_quote,no_bid_quote,no_ask_quote,fill_count_yes_buy,fill_count_yes_sell,fill_count_no_buy,fill_count_no_sell,total_fills,seconds_to_window_end,position_bias,crowd_activity,crowd_signal,realized_on_roll
2026-04-20T18:32:03.682002+00:00,2026-04-20T18:32:03.253989+00:00,btc-updown-5m-1776709800,0xd0ed07d44b2d8194c5d97393237cf913340adb29d6fd68a2b85757e6fbb97950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.875,0.12075,0.87925,0.12,0.128272,0.873187,0.88,0,0,0,0,0,176.74601101875305,0.0,1056.75,-0.2833600904484166,0.0
2026-04-20T18:32:04.433714+00:00,2026-04-20T18:32:04.116857+00:00,btc-updown-5m-1776709800,0xd0ed07d44b2d8194c5d97393237cf913340adb29d6fd68a2b85757e6fbb97950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.875,0.115319,0.884681,0.115,0.135,0.865,0.891135,0,0,0,0,0,175.88314294815063,0.0,1103.04,-0.6453981723237598,0.0
2026-04-20T18:32:16.698352+00:00,2026-04-20T18:32:16.799982+00:00,btc-updown-5m-1776709800,0xd0ed07d44b2d8194c5d97393237cf913340adb29d6fd68a2b85757e6fbb97950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.875,0.130384,0.869616,0.123195,0.13,0.87,0.874463,0,0,0,0,0,163.20001792907715,0.0,930.77,0.35894675607309184,0.0
2026-04-20T18:32:17.739102+00:00,2026-04-20T18:32:17.040009+00:00,btc-updown-5m-1776709800,0xd0ed07d44b2d8194c5d97393237cf913340adb29d6fd68a2b85757e6fbb97950,5.0,-5.0,10.0,10.0,3.7563400000000007,-3.9499999999999997,-0.19365999999999906,0.105,0.895,0.086855,0.913145,0.1,0.101052,0.899077,0.9,1,0,0,1,2,162.95999097824097,0.4,983.75,0.4086191510836877,0.0
2026-04-20T18:32:18.361876+00:00,2026-04-20T18:32:18.043681+00:00,btc-updown-5m-1776709800,0xd0ed07d44b2d8194c5d97393237cf913340adb29d6fd68a2b85757e6fbb97950,5.0,-5.0,10.0,10.0,3.7563400000000007,-3.9499999999999997,-0.19365999999999906,0.105,0.895,0.083564,0.916436,0.095,0.115,0.885,0.914519,1,0,0,1,2,161.95631909370422,0.4,938.99,0.19044212681273529,0.0
2026-04-20T18:32:18.976494+00:00,2026-04-20T18:32:18.045465+00:00,btc-updown-5m-1776709800,0xd0ed07d44b2d8194c5d97393237cf913340adb29d6fd68a2b85757e6fbb97950,5.0,-5.0,10.0,10.0,3.7563400000000007,-3.9499999999999997,-0.19365999999999906,0.105,0.895,0.077296,0.922704,0.095,0.115,0.885,0.924839,1,0,0,1,2,161.9545350074768,0.4,1117.75,-0.21358085439498994,0.0
2026-04-20T18:32:19.669820+00:00,2026-04-20T18:32:19.049191+00:00,btc-updown-5m-1776709800,0xd0ed07d44b2d8194c5d97393237cf913340adb29d6fd68a2b85757e6fbb97950,5.0,-5.0,10.0,10.0,3.7563400000000007,-3.9499999999999997,-0.19365999999999906,0.105,0.895,0.077531,0.922469,0.095,0.115,0.885,0.923757,1,0,0,1,2,160.9508090019226,0.4,862.0,-0.21307976132692225,0.0
2026-04-20T18:34:19.776490+00:00,2026-04-20T18:34:19.277918+00:00,btc-updown-5m-1776709800,0xd0ed07d44b2d8194c5d97393237cf913340adb29d6fd68a2b85757e6fbb97950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.695,0.305,0.680828,0.319172,0.685,0.705,0.295,0.328959,0,0,0,0,0,40.722081899642944,0.0,1168.68,-0.9447848366958465,0.0
2026-04-20T18:34:20.455786+00:00,2026-04-20T18:34:20.040130+00:00,btc-updown-5m-1776709800,0xd0ed07d44b2d8194c5d97393237cf913340adb29d6fd68a2b85757e6fbb97950,5.0,0.0,5.0,5.0,-3.4250000000000003,3.375,-0.050000000000000266,0.675,0.325,0.654086,0.345914,0.665,0.685,0.315,0.348915,1,0,0,0,1,39.95987010002136,0.2,830.16,-0.30640462574686234,0.0
2026-04-20T18:34:21.061052+00:00,2026-04-20T18:34:21.037854+00:00,btc-updown-5m-1776709800,0xd0ed07d44b2d8194c5d97393237cf913340adb29d6fd68a2b85757e6fbb97950,5.0,0.0,5.0,5.0,-3.4250000000000003,3.375,-0.050000000000000266,0.675,0.325,0.6447,0.3553,0.665,0.685,0.315,0.378612,1,0,0,0,1,38.962146043777466,0.2,1828.8049999999998,-0.8775347285180056,0.0
2026-04-20T18:34:21.671370+00:00,2026-04-20T18:34:21.037430+00:00,btc-updown-5m-1776709800,0xd0ed07d44b2d8194c5d97393237cf913340adb29d6fd68a2b85757e6fbb97950,5.0,0.0,5.0,5.0,-3.4250000000000003,3.375,-0.050000000000000266,0.675,0.325,0.646186,0.353814,0.665,0.685,0.315,0.375862,1,0,0,0,1,38.96256995201111,0.2,2747.62,-0.769475630533649,0.0
2026-04-20T18:34:22.343113+00:00,2026-04-20T18:34:22.044894+00:00,btc-updown-5m-1776709800,0xd0ed07d44b2d8194c5d97393237cf913340adb29d6fd68a2b85757e6fbb97950,5.0,0.0,5.0,5.0,-3.4250000000000003,3.375,-0.050000000000000266,0.675,0.325,0.660695,0.339305,0.665,0.685,0.32781,0.33,1,0,0,0,1,37.955106019973755,0.2,1273.1399999999999,0.16208694245237565,0.0
2026-04-20T18:34:23.139279+00:00,2026-04-20T18:34:23.038211+00:00,btc-updown-5m-1776709800,0xd0ed07d44b2d8194c5d97393237cf913340adb29d6fd68a2b85757e6fbb97950,10.0,-5.0,15.0,15.0,-5.1,4.825000000000001,-0.2749999999999986,0.655,0.345,0.601217,0.398783,0.645,0.665,0.335,0.415942,2,0,0,1,3,36.96178889274597,0.6,1292.04,-0.22822940661350347,0.0
2026-04-20T18:34:23.741215+00:00,2026-04-20T18:34:23.037545+00:00,btc-updown-5m-1776709800,0xd0ed07d44b2d8194c5d97393237cf913340adb29d6fd68a2b85757e6fbb97950,10.0,-5.0,15.0,15.0,-5.1,4.825000000000001,-0.2749999999999986,0.655,0.345,0.607575,0.392425,0.645,0.665,0.335,0.403451,2,0,0,1,3,36.96245503425598,0.6,1007.76,0.1508014483526332,0.0
2026-04-20T18:34:24.523748+00:00,2026-04-20T18:34:24.045266+00:00,btc-updown-5m-1776709800,0xd0ed07d44b2d8194c5d97393237cf913340adb29d6fd68a2b85757e6fbb97950,10.0,-5.0,15.0,15.0,-5.1,4.825000000000001,-0.2749999999999986,0.655,0.345,0.617854,0.382146,0.645,0.665,0.335,0.373596,2,0,0,1,3,35.954734086990356,0.6,1296.825,0.888801732624377,0.0
2026-04-20T18:34:25.138093+00:00,2026-04-20T18:34:25.041809+00:00,btc-updown-5m-1776709800,0xd0ed07d44b2d8194c5d97393237cf913340adb29d6fd68a2b85757e6fbb97950,10.0,-5.0,15.0,15.0,-5.1,4.825000000000001,-0.2749999999999986,0.655,0.345,0.604309,0.395691,0.645,0.665,0.335,0.396694,2,0,0,1,3,34.95819091796875,0.6,708.1600000000001,-0.10031631269769545,0.0
2026-04-20T18:34:25.778127+00:00,2026-04-20T18:34:25.039261+00:00,btc-updown-5m-1776709800,0xd0ed07d44b2d8194c5d97393237cf913340adb29d6fd68a2b85757e6fbb97950,10.0,-5.0,15.0,15.0,-5.1,4.825000000000001,-0.2749999999999986,0.655,0.345,0.601517,0.398483,0.645,0.665,0.335,0.400577,2,0,0,1,3,34.96073889732361,0.6,1133.48,-0.2191364575846392,0.0
